Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Comment [Cell Line],Proprietary Compound,Compound Concentration (microMolar),Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Channels,Score,Has Phenotype,Phenoptye Annotation Level,Phenotype,Phenotype Term Name,Phenotype Term Accession
1093670859,I14,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1151683253,0.00003,,,3717,JAK2,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,64.30646515,,,,,
1093670859,I15,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,30,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,960.7636719,,,,,
1093670859,I16,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,10,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1137.009033,,,,,
1093670859,I17,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,79.84293365,,,,,
1093670859,I18,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,,,,,,,Stimulator Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,749.0452271,,,,,
1093670859,I19,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,68.18452454,,,,,
1093670859,I20,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,3.125,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1291.119751,,,,,
1093670859,I21,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,1.25,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,732.6149292,,,,,
1093670859,I22,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.3,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,67.72912598,,,,,
1093670859,I23,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.1,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,89.79664612,,,,,
1093670859,I24,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.03,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,89.07970428,,,,,
1093670859,J1,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.0125,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,99.25743866,,,,,
1093670859,J2,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.003,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,82.44068146,,,,,
1093670859,J3,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.001,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,61.48996735,,,,,
1093670859,J4,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.0003,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,46.11347198,,,,,
1093670859,J5,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1073025569,0.00003,,,2932,GSK3B,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,60.05156708,,,,,
1093670859,J6,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,78.76906586,,,,,
1093670859,J7,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,,,,,,,Stimulator Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,724.2675171,,,,,
1093670859,J8,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,,,,,,,Neutral Control,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,80.65472412,,,,,
1093670859,J9,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,30,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1013.980164,,,,,
1093670859,J10,Homo sapiens,NCBITaxon,9606,HeLa - mScarlet/fascin KD,EFO,EFO_0001185,HeLa - mScarlet/fascin KD,SN1062996041,10,,,3718,JAK3,,CellEvent Caspase-3/7 Green Detection Reagent; mScarlet,1171.789307,,,,,
