Plate,Well,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Term Source 2 REF,Term Source 2 Accession,Compound Name,Compound PubChem CID,Proprietary Compound,Compound InChIKey,Compound SMILES,Comment [Gene Identifier],Comment [Gene Symbol],Control Type,Comment [Control Type Comments],Quality Control,Channels
1093711385,F2,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN0022071220,,,983,CDK1,,,Pass,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F20,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7711,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F21,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7712,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F22,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7713,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F23,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7714,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F3,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7694,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F4,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN0069309325,,,5915,RARB,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F5,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7696,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F6,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,,SN0182993455,,,6546,SLC8A1,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
1093711385,F7,Homo sapiens,NCBITaxon,9606,HeLa,EFO,EFO_0001185,,7698,,,,,,,,,Hoechst:DNA; Alexa Fluor 488 phalloidin:actin; mScarlet:fascin; iRFP:nuclear actin chromobody (nAC)
